cve_id,repo_id,candidate_id,candidate_commit_sha,canonical_or_related_commit_sha,source_lane,manual_event_label,manual_confidence,anchor_semantically_valid,relocated_context_valid,is_recommended_intro,manual_evidence_quality,manual_notes
CVE-2020-15466,wireshark,pre-fix-line:052466e16eaa6922c3ddcaa51b3b9d824fd1ea6a1ec086d6bf79d93c78a4e366,e7e4dc5d98869f91af3e649324d726217b2a8861,,fallback,prerequisite_event_parser_extension,medium_high,partial,true,false,medium,"Extends EventData parsing and retains the existing tree guard, but the function is still single-pass. It does not introduce the non-advancing while loop fixed by the CVE patch."
CVE-2020-15466,wireshark,pre-fix-line:075d41e59f9ffab0041bcbb00e782d362b23312935c4c9d9d831f7ff15768d28,babe895d3a0d16346c500e397661c3fc580ee7e6,,fallback,prerequisite_hazardous_guard,high,partial,true,false,strong_prerequisite,"Introduces dissect_eventdata_cmd and places all offset updates under gvcp_telegram_tree != NULL. This is a hazardous prerequisite, but no offset-dependent while loop exists yet."
CVE-2020-19667,ImageMagick,pre-fix-line:00f200cc2911b4898d26814e52619f1ba44e225718b64f3606fd5502180add4b,3ed852eea50f9d4cd633efb8c2b054b8e33c2530,,fallback,history_boundary_censored,high,false,false,false,boundary_only,"Repository root/import already contains the target parser state. The structural anchor `}` is invalid, and the root commit cannot prove original introduction."
CVE-2020-19667,ImageMagick,pre-fix-line:034e75e76c76cd73060c9c0b927089fe1c98411e30a3326e6e69d7c7ffd4bc7e,e7538ca05d229be42443bb927dbc4c8c8f1fc856,,fallback,related_input_validation_hardening,medium_high,false,false,false,partial,Hardens key CopyXPMColor length handling. It is related to XPM parsing but does not introduce the target/symbolic termination defect.
CVE-2020-19667,ImageMagick,pre-fix-line:081de3e6ddd81bfee38d7f9c661b74aee80046a0ad41ab6fd24c4504e9abc66c,bd45f324084453a2fb279c5c9b5c5c075bce2904,,fallback,refactor_formatting,high,false,true,false,invalid_for_root_cause,Moves the count declaration and changes indentation only. It does not alter the target/symbolic parser state.
CVE-2020-1971,openssl,pre-fix-line:00bd2de62bd82111b8d9aa564f281a299d0489ab347831ee2332113017a36302,c7235be6e36c4bef84594aa3b2f0561db84b63d8,0f113f3ee4d629ef9a4a30911b22b224772085e5,fallback,vulnerability_introduction,high,true,true,true,strong,"Introduces GENERAL_NAME_cmp with GEN_EDIPARTY handled through ASN1_TYPE_cmp(a->d.other, b->d.other), directly matching the later fix semantics."
CVE-2020-1971,openssl,pre-fix-line:20ca38752d54921dfd9d5b667710c73e0a360bf310b87cc5cacc4b2dac31dfee,f4cc56f494b3f42642ea3b322e57737da80f889a,0f113f3ee4d629ef9a4a30911b22b224772085e5,fallback,secondary_vulnerability_introduction,medium_high,true,true,false,medium,Introduces GENERAL_NAME_set0_value/get0_value handling GEN_EDIPARTY via d.other. This is related vulnerable union-field handling but not the earliest primary comparison boundary.
CVE-2020-25663,ImageMagick,pre-fix-line:e2e5da8bf6acfe907fe7a0c0e05b3f1b1de83f5a54c99b5695a3c7cb6a1a7d08,7894d4a8920a7ee8f292b9c9b4bfc7b722bfcb83,,strong,prerequisite_safe_cache_view_structure,high,true,false,false,medium,"Introduces or reorganizes cache-view row acquisition, but does not create the vulnerable ConformPixelInfo-after-acquisition ordering."
CVE-2020-25663,ImageMagick,pre-fix-line:e5496db617dfc637d8a33f0828d684034b2a3ee166c1673e278e2cd8afee160e,8ed707a93fc4c7b3193dd562f07c4a1cc63cc19d,,strong,vulnerability_introduction,high,true,true,true,strong,"Moves ConformPixelInfo from before GetCacheViewAuthenticPixels to after q is acquired, directly creating the unsafe cache-pointer lifetime ordering reverted by the fix."
CVE-2020-8169,curl,pre-fix-line:269e1702e8672c4ea9eb01355b051829004dbd474472e39d5f952a836d087e30,fb723fd9d1d2c1acb46e7980b4b35a5fb4d7c355,,fallback,unrelated_invalid_anchor,high,false,true,false,weak,Test inventory line for test1167. It is not a vulnerable predicate.
CVE-2020-8169,curl,pre-fix-line:643eb3db2d61659912bcddec13f0645e1b5e6844a86322bc33af72d6a30f3a30,2c5ec339ea67f43ac370ae77636a0f915cc5fbeb,,fallback,unrelated_or_broad_redirect_prerequisite,medium_high,false,true,false,weak,Fake redirect behavior change and test inventory anchor. It is not the credential URL-encoding introduction.
CVE-2020-8169,curl,pre-fix-line:8e9730e8f7ceee3e2ee11166f7b71a4a1aae68ccbdf491823503441ebb088329,46e164069d1a5230e4e64cbd2ff46c46cce056bb,,fallback,vulnerability_introduction,high,true,true,true,strong,Introduces internal URL API usage and updates username/password in the URL with curl_url_set flags 0. The fix changes these calls to use CURLU_URLENCODE.
CVE-2020-8169,curl,pre-fix-line:906b628251015484f85cf328febaf627779f87026263d33f4c36b67ec8dc5c30,a97d826f6de35372563ca47087bd53ce837fe21e,,fallback,unrelated_invalid_anchor,high,false,true,false,weak,Test inventory line for test1177. It is not a vulnerable predicate.
CVE-2020-8231,curl,pre-fix-line:58fa8338ad3ea672acd04e48ca778e35489ce37c52567992e431acf7f5bd245a,d021f2e8a0067fc769652f27afec9024c0d02b3d,,strong,vulnerability_introduction,high,true,partial,true,strong,Introduces persistent connection caching with state.lastconnect as a struct connectdata pointer. Later fix replaces pointer memory with connection id.
CVE-2020-8231,curl,pre-fix-line:96e2823d262eba5fab1e424346eba3b286e2e1397a371c9d9f8e0cbfdd8a56b8,07cb27c98e92649e74a312faf976271fa7da609c,575e885db0f3b2c50434f63269438fe21cbbb978,strong,refactor_or_lifecycle_event,high,true,true,false,medium,"The line is relevant, but the event is a later lifecycle/refactor around existing pointer state, not the original introduction."
CVE-2022-0171,linux,pre-fix-line:52235be9052926d5b94e7f55f55e32e0c17921d981700ee274243ff893d35de0,8931a454aea03bab21b3b8fcdc94f674eebd1c5d,,strong,prerequisite_lock_optimization,high,partial,true,false,strong_prerequisite,Optimizes conditional mmu_lock acquisition. It neither introduces SEV nor creates the original missing-cache-flush policy.
CVE-2022-0171,linux,pre-fix-line:b13d524ddf813defb48dfae202509c87bd59025fbfc6fda94372ff406e57f23c,f922bd9bf33bd5a8c6694927f010f32127810fbf,,strong,prerequisite_mmu_notifier_refactor,high,partial,true,false,strong_prerequisite,"Moves lock handling and introduces on_lock callback structure with no intended functional change. It is useful repair scaffolding, not the SEV vulnerability introduction."
CVE-2022-0286,linux,pre-fix-line:dff6626881878dc79797acc5156a658866f3a5cb26c680ed33f6cd6b0f79cc34,bdfd2d1fa79acd03e18d1683419572f3682b39fd,,strong,refactor_field_rename,high,true,true,false,strong_refactor,Renames xso.slave_dev to xso.real_dev while preserving the unchecked slave->dev dereference.
CVE-2022-0286,linux,pre-fix-line:af8b4b45936c1599fd89b400eccbde6e926114aa81693d29af78daadbf63726c,f548a476268d621846bb0146af861bb56250ae37,,strong,refactor_rcu_access,high,true,true,false,strong_refactor,Changes rtnl_dereference to rcu_dereference but still dereferences slave without a null check.
